comment,step,time,type,head_pan,head_tilt,head_sidetilt,r_arm,right_arm_shoulder_rotate,right_arm_shoulder_lift,right_arm_elbow_rotate,right_arm_elbow_bend,right_arm_wrist_bend,right_arm_wrist_rotate,right_arm_gripper_finger,l_arm,left_arm_shoulder_rotate,left_arm_shoulder_lift,left_arm_elbow_rotate,left_arm_elbow_bend,left_arm_wrist_bend,left_arm_wrist_rotate,left_arm_gripper_finger,param1,param2
master,49,0.96,move,-0.6366,-0.135,-0.0614,R:,0.8514,0.2961,-0.9204,1.7303,0,-0.3804,,L:,-0.3145,0.3047,-0.4234,1.8254,0,0.0337,,,
sea,50,0.96,move,-0.6934,-0.1979,0.0261,R:,0.833,0.497,-0.3206,1.356,0,-0.3789,,L:,-0.3145,0.2955,-0.4234,1.6843,0,0.0353,,,
oh ho,51,0.96,move,-0.1672,-0.2071,0.0123,R:,0.7148,0.5286,-0.2,1.1413,0,-0.3804,,L:,-0.3145,0.2985,0.5,1.7135,0,0.0445,,,
PART3,52,0,marker,0.115,-0.2194,0.0905,,,,,,,,,,,,,,,,,,
TURN STOP,15,0,marker,,,,,,,,,,,,,,,,,,,,0,
I was,53,0.96,move,0.224,-0.1933,0.0506,R:,0.9449,0.1657,-1.6015,1.9098,0,0.7056,,L:,-0.3114,0.2909,-0.3958,1.6782,0,0.0445,0,,
broken,54,0.96,move,-0.431,-0.1841,0.1273,R:,0.628,0.27,-0.5875,2.146,1,0.2025,,L:,-0.3099,0.2771,-0.5108,1.6015,0,0.0445,,,
young,55,0.96,move,-0.3451,-0.1611,0.0997,R:,0.6734,0.0982,-0.9112,1.7273,0,0.2025,,L:,-0.3114,0.2801,-0.4633,1.6966,0,0.0445,,,
sulking,56,0.96,move,0.5277,-0.1979,0.1135,R:,0.528,0.27,-0.5875,2.146,0,0.2025,,L:,-0.3099,0.2633,-0.5062,1.6521,0,0.0445,,,
masses,57,0.96,move,0.474,-0.3359,0.089,R:,0.7578,0.0997,-0.4541,2.0295,0,0.2025,,L:,-0.3099,0.2403,-0.5446,1.5785,0,0.0445,,,
poems,58,0.96,move,0.0353,0.545,0.0997,R:,0.7593,0.1227,-0.5875,2.1798,0,-1.0324,,L:,-0.3099,0.2403,-0.4801,1.603,0,0.0445,,,
few,59,0.96,move,-0.0522,0.345,-0.5369,R:,0.744,0.2408,-1.3652,2.0157,0,0.2746,,L:,-0.3099,0.2172,-0.4602,1.6828,0,0.0445,,,
looked,60,0.96,move,-0.0107,0.902,0.023,R:,0.4725,0.3743,-0.994,1.8224,0,0.2746,,L:,-0.3099,0.2019,-0.4955,1.7549,0,0.0445,,,
--took,61,0.48,move,-0.4495,0.856,-0.2715,R:,0.4863,0.3574,-1.4864,1.827,1,0.2746,,L:,-0.3099,0.2065,-0.4832,1.9113,0,0.0445,,,
shook,62,0.48,move,-0.0107,0.902,0.023,R:,0.4939,0.3405,-1.31,1.5631,,0.2746,,L:,-0.3099,0.2019,-0.4771,1.5463,0,0.0445,,,
--feeling,63,0.48,move,0.3175,0.8345,0.0675,R:,0.5062,0.2393,-1.6153,1.4834,0,0.2746,,L:,-0.3099,0.2203,-0.4755,1.6045,0,0.0445,,,
singing,64,0.48,move,-0.293,-0.1227,-0.0476,R:,0.5814,0.2255,-0.181,2.2028,0,-0.1074,,L:,-0.3099,0.2234,-0.4648,1.9313,0,0.0445,,,
messge,65,0.96,move,0.2178,-0.1611,-0.0031,R:,0.8,0.2516,-0.3988,2.0678,0,-0.1074,,L:,-0.3083,0.2172,-0.4326,1.5463,0,0.0445,,,
,66,0.96,move,0.2546,-0.1503,-0.0092,,1.083,,,,,,,,,,,,,,,,
